end_station_name,member_casual,total_trips_end_station
Fort Dearborn Dr & 31st St,member,397
Ogden Ave & Race Ave,casual,397
Marine Dr & Ainslie St,casual,393
Sedgwick St & Huron St,casual,389
Canal St & Taylor St,member,388
Winthrop Ave & Lawrence Ave,member,387
Lincoln Ave & Belle Plaine Ave,member,386
Ashland Ave & Chicago Ave,casual,385
Leavitt St & North Ave,member,385
Lincoln Ave & Sunnyside Ave,member,385
Franklin St & Monroe St,casual,384
Ashland Ave & Wrightwood Ave,casual,383
Michigan Ave & Jackson Blvd,member,383
Broadway & Argyle St,casual,381
Sheridan Rd & Lawrence Ave,member,377
Aberdeen St & Monroe St,casual,375
Calumet Ave & 18th St,casual,375
Dearborn St & Van Buren St,casual,374
Western Ave & Walton St,member,373
Clark St & 9th St (AMLI),member,372
Benson Ave & Church St,member,371
Leavitt St & Armitage Ave,member,369
Ravenswood Ave & Lawrence Ave,casual,368
State St & Van Buren St,casual,367
Racine Ave & Randolph St,member,366
Clark St & Leland Ave,casual,364
McCormick Place,casual,362
Racine Ave & Washington Blvd,member,361
Michigan Ave & 18th St,casual,360
Clinton St & Jackson Blvd,casual,359
Larrabee St & North Ave,casual,357
Clark St & Montrose Ave,member,356
Greenview Ave & Diversey Pkwy,casual,356
State St & 35th St,member,356
Broadway & Wilson - Truman College Vaccination Site,casual,355
Ashland Ave & Grand Ave,member,354
Lake Park Ave & 53rd St,member,353
Aberdeen St & Jackson Blvd,casual,352
LaSalle St & Washington St,casual,352
Ravenswood Ave & Irving Park Rd,member,352
Clinton St & Roosevelt Rd,casual,350
LaSalle St & Adams St,member,350
Lincoln Ave & Waveland Ave,member,349
Wells St & Walton St,casual,348
Racine Ave & Wrightwood Ave,casual,345
Damen Ave & Charleston St,member,344
Dearborn St & Adams St,casual,344
Museum of Science and Industry,casual,344
Lake Park Ave & 53rd St,casual,340
Seeley Ave & Roscoe St,member,340
Orleans St & Hubbard St,casual,337
Fairbanks St & Superior St,casual,336
Morgan St & 18th St,member,336
Noble St & Milwaukee Ave,casual,332
Winthrop Ave & Lawrence Ave,casual,330
Blue Island Ave & 18th St,member,329
Sheridan Rd & Noyes St (NU),member,329
Logan Blvd & Elston Ave,casual,328
Desplaines St & Jackson Blvd,casual,327
Damen Ave & Clybourn Ave,member,326
Wood St & Augusta Blvd,member,326
Cornell Ave & Hyde Park Blvd,casual,323
Harper Ave & 59th St,member,323
Sedgwick St & Schiller St,member,322
Humboldt Blvd & Armitage Ave,casual,321
Jefferson St & Monroe St,casual,321
Campbell Ave & North Ave,casual,320
Wolcott (Ravenswood) Ave & Montrose Ave,member,319
Leavitt St & Chicago Ave,member,318
Leavitt St & North Ave,casual,317
Western Ave & Walton St,casual,315
Sheridan Rd & Buena Ave,casual,314
Ada St & Washington Blvd,casual,313
Damen Ave & Thomas St (Augusta Blvd),casual,313
Ashland Ave & Grace St,casual,312
Broadway & Thorndale Ave,casual,312
Elston Ave & Cortland St,casual,312
Indiana Ave & 31st St,member,312
Damen Ave & Grand Ave,member,309
Ashland Ave & Grand Ave,casual,307
Broadway & Granville Ave,casual,307
Logan Blvd & Elston Ave,member,304
Halsted St & Maxwell St,casual,301
Wood St & Hubbard St,member,301
Racine Ave & 18th St,casual,300
Wabash Ave & 16th St,casual,299
Orleans St & Elm St,member,298
Sheridan Rd & Noyes St (NU),casual,298
California Ave & Cortez St,member,295
Rhodes Ave & 32nd St,member,295
Michigan Ave & Ida B Wells Dr,member,293
Delano Ct & Roosevelt Rd,casual,292
Broadway & Berwyn Ave,casual,286
Clarendon Ave & Leland Ave,casual,286
Canal St & Monroe St,casual,285
Ashland Ave & Lake St,casual,283
Benson Ave & Church St,casual,283
Loomis St & Lexington St,casual,283
Ellis Ave & 55th St,casual,282
Walsh Park,casual,280
Damen Ave & Charleston St,casual,278
Clark St & 9th St (AMLI),casual,277
Southport Ave & Irving Park Rd,casual,276
Leavitt St & Division St,member,275
LaSalle St & Jackson Blvd,casual,274
Woodlawn Ave & 55th St,casual,274
Damen Ave & Grand Ave,casual,272
May St & Taylor St,casual,272
Seeley Ave & Roscoe St,casual,272
Clark St & Bryn Mawr Ave,casual,270
Glenwood Ave & Morse Ave,member,270
Ashland Ave & Lake St,member,269
Ashland Ave & Augusta Blvd,casual,268
Wood St & Chicago Ave,casual,268
California Ave & Cortez St,casual,266
900 W Harrison St,casual,263
Financial Pl & Ida B Wells Dr,casual,263
Leavitt St & Armitage Ave,casual,263
Chicago Ave & Sheridan Rd,casual,262
Damen Ave & Wellington Ave,member,260
Ravenswood Ave & Berteau Ave,member,260
Wacker Dr & Washington St,casual,260
Sheridan Rd & Loyola Ave,member,259
Milwaukee Ave & Rockwell St,member,258
Campbell Ave & North Ave,member,257
Western Ave & Division St,member,254
Cannon Dr & Fullerton Ave,member,253
Sedgwick St & Schiller St,casual,251
Stave St & Armitage Ave,member,251
Blackstone Ave & Hyde Park Blvd,member,250
Canal St & Taylor St,casual,250
Broadway & Ridge Ave,casual,248
Humboldt Blvd & Armitage Ave,member,248
Sheridan Rd & Columbia Ave,member,246
Campbell Ave & Montrose Ave,member,243
Lake Park Ave & 35th St,casual,241
LaSalle St & Adams St,casual,241
Blue Island Ave & 18th St,casual,240
Leavitt St & Chicago Ave,casual,240
Leavitt St & Belmont Ave,member,238
Shields Ave & 31st St,member,238
Sheridan Rd & Loyola Ave,casual,237
Paulina St & 18th St,member,236
Western Ave & Leland Ave,casual,236
Ashland Ave & 13th St,member,235
California Ave & North Ave,casual,235
Damen Ave & Foster Ave,member,235
Southport Ave & Clark St,member,233
Western Ave & Congress Pkwy,member,233
Lake Park Ave & 56th St,casual,231
Kedzie Ave & Palmer Ct,casual,230
Albany Ave & Bloomingdale Ave,member,229
Chicago Ave & Washington St,member,229
Kedzie Ave & Palmer Ct,member,229
California Ave & North Ave,member,228
Damen Ave & Wellington Ave,casual,228
Larrabee St & Menomonee St,casual,228
Lincoln Ave & Belle Plaine Ave,casual,228
Blackstone Ave & Hyde Park Blvd,casual,227
Spaulding Ave & Armitage Ave,casual,227
Sheridan Rd & Lawrence Ave,casual,225
Western Ave & Division St,casual,225
Elizabeth (May) St & Fulton St,casual,224
Milwaukee Ave & Rockwell St,casual,224
Clark St & Montrose Ave,casual,223
Wood St & Augusta Blvd,casual,223
California Ave & Francis Pl (Temp),member,222
Clybourn Ave & Division St,casual,222
Emerald Ave & 28th St,member,221
Larrabee St & Oak St,casual,218
Wabash Ave & Cermak Rd,casual,217
Albany Ave & Bloomingdale Ave,casual,215
Clinton St & Tilden St,member,215
Ogden Ave & Congress Pkwy,member,215
Stave St & Armitage Ave,casual,214
Washtenaw Ave & Lawrence Ave,member,214
Wentworth Ave & 33rd St,member,214
Elston Ave & Wabansia Ave,member,213
California Ave & Division St,casual,212
Loomis St & Jackson Blvd,casual,212
Morgan St & 18th St,casual,212
Morgan St & 31st St,member,211
Greenview Ave & Jarvis Ave,member,210
Orleans St & Elm St,casual,210
Wabash Ave & Cermak Rd,member,209
Damen Ave & Sunnyside Ave,member,207
Buckingham Fountain,member,206
Clark St & Elmdale Ave,member,206
Ashland Ave & Wellington Ave,casual,205
Damen Ave & Melrose Ave,casual,204
Morgan St & Polk St,casual,204
Damen Ave & Madison St,member,203
Indiana Ave & 26th St,member,203
California Ave & Altgeld St,member,202
Calumet Ave & 21st St,member,202
Central Park Ave & Bloomingdale Ave,casual,202
Chicago Ave & Sheridan Rd,member,202
